"Layer","Domain","AccountName","AccountGroup","ActiveDirectoryRights","ObjectRights","ObjectDN","ObjectOwner","ObjectClassCategory","IdentitySID","ObjectSID"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","ExtendedRight","DS-Replication-Get-Changes-In-Filtered-Set","DC=AetosDios,DC=local","BUILTIN\Administrators","Domain","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","ExtendedRight","DS-Replication-Get-Changes-All","DC=AetosDios,DC=local","BUILTIN\Administrators","Domain","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","ExtendedRight","DS-Replication-Get-Changes","DC=AetosDios,DC=local","BUILTIN\Administrators","Domain","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","DC=AetosDios,DC=local","BUILTIN\Administrators","Domain","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","top foreignSecurityPrincipal ","S-1-5-32-544","S-1-5-9"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018-498"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=Enterprise Admins,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018-519"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=Domain Controllers,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018-516"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=Domain Admins,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-32-544","S-1-5-21-4126749358-3669069066-2299675018-512"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=AdminSDHolder,CN=System,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Container","S-1-5-32-544",""
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=Administrators,CN=Builtin,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-32-544","S-1-5-32-544"
"1","AetosDios.local","AETOSDIOS\elyada","BUILTIN\Administrators","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, Delete, GenericRead, WriteDacl, WriteOwner","All","CN=Account Operators,CN=Builtin,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-32-544","S-1-5-32-548"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","GenericAll","All","DC=AetosDios,DC=local","BUILTIN\Administrators","Domain","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-21-4126749358-3669069066-2299675018"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","GenericAll","All","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-9"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","GenericAll","All","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-21-4126749358-3669069066-2299675018-498"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=Enterprise Admins,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-21-4126749358-3669069066-2299675018-519"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=Domain Controllers,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-21-4126749358-3669069066-2299675018-516"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=Domain Admins,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-21-4126749358-3669069066-2299675018-512"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=AdminSDHolder,CN=System,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Container","S-1-5-21-4126749358-3669069066-2299675018-519",""
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=Administrators,CN=Builtin,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-32-544"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=Account Operators,CN=Builtin,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-519","S-1-5-32-548"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Domain Admins","GenericAll","All","CN=S-1-5-9,CN=ForeignSecurityPrincipals,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","top foreignSecurityPrincipal ","S-1-5-21-4126749358-3669069066-2299675018-512","S-1-5-9"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Domain Admins","GenericAll","All","CN=Enterprise Read-only Domain Controllers,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-512","S-1-5-21-4126749358-3669069066-2299675018-498"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Domain Admins","CreateChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","DC=AetosDios,DC=local","BUILTIN\Administrators","Domain","S-1-5-21-4126749358-3669069066-2299675018-512","S-1-5-21-4126749358-3669069066-2299675018"
"1","AetosDios.local","AETOSDIOS\elyada","AETOSDIOS\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","All","CN=Enterprise Admins,CN=Users,DC=AetosDios,DC=local","AETOSDIOS\Domain Admins","Group","S-1-5-21-4126749358-3669069066-2299675018-512","S-1-5-21-4126749358-3669069066-2299675018-519"
