"GroupsName","AccountName","AccountType","AccountAllowedForDelegation","|","DelegationAccountName","DelegationAccountType","DelegationType","VulnerableServices","newEscalationPath"
"Administrators,Schema Admins,Enterprise Admins,Domain Admins","Administrator@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Domain Admins","James@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Enterprise Admins,Domain Admins","sysadmin@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Domain Admins","adminNotDelegated@research.com","User","No","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)","No"
,"Adminstrators@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
,"localAdminWin10@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
,"localAdminWin2016@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
,"localAdminWin81@research.com","User","Yes","|","WIN10$@research.com","Computer","Unconstrained Delegation","Any service (SPN)",""
"Administrators,Schema Admins,Enterprise Admins,Domain Admins","Administrator@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
"Administrators,Domain Admins","James@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
"Administrators,Enterprise Admins,Domain Admins","sysadmin@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
"Administrators,Domain Admins","adminNotDelegated@research.com","User","No","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN","No"
,"Adminstrators@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
,"localAdminWin10@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
,"localAdminWin2016@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
,"localAdminWin81@research.com","User","Yes","|","SERVER-2016$@research.com","Computer","Protocol Transition","http/openDlgSPN",""
